id_loja,cidade_loja,pais_loja
1,Medellín,Colombia
2,São Paulo,Brazil
3,Porto Alegre,Brazil
4,Lima,Peru
5,Rio de Janeiro,Brazil
6,Guarulhos,Brazil
7,Guayaquil,Ecuador
8,Curitiba,Brazil
9,São Paulo,Brazil
10,Caracas,Venezuela
11,Manaus,Brazil
12,León,Mexico
13,Lima,Peru
14,Lima,Peru
15,Buenos Aires,Argentina
16,Bogotá,Colombia
17,Port-au-Prince,Haiti
18,Guayaquil,Ecuador
19,Barquisimeto,Venezuela
20,Fortaleza,Brazil
21,Bogotá,Colombia
22,Fortaleza,Brazil
23,Curitiba,Brazil
24,Córdoba,Argentina
25,Callao,Peru
26,Caracas,Venezuela
27,Manaus,Brazil
28,Puebla,Mexico
29,Monterrey,Mexico
30,Rio de Janeiro,Brazil
31,Buenos Aires,Argentina
32,Caracas,Venezuela
33,São Paulo,Brazil
34,Rio de Janeiro,Brazil
35,Medellín,Colombia
36,Lima,Peru
37,Santiago,Chile
38,Havana,Cuba
39,Buenos Aires,Argentina
40,Havana,Cuba
41,Puebla,Mexico
42,Zapopan,Mexico
43,São Paulo,Brazil
44,Bogotá,Colombia
45,Manaus,Brazil
46,Buenos Aires,Argentina
47,Port-au-Prince,Haiti
48,Barquisimeto,Venezuela
49,Port-au-Prince,Haiti
50,Lima,Peru
51,Medellín,Colombia
52,Curitiba,Brazil
53,Lima,Peru
54,Mexico City,Mexico
55,Fortaleza,Brazil
56,Campinas,Brazil
57,São Paulo,Brazil
58,Santa Cruz de la Sierra,Bolivia
59,Córdoba,Argentina
60,Santa Cruz de la Sierra,Bolivia
61,Bogotá,Colombia
62,Lima,Peru
63,Tegucigalpa,Honduras
64,Nezahualcóyotl,Mexico
65,Santiago,Chile
66,São Paulo,Brazil
67,Rio de Janeiro,Brazil
68,São Paulo,Brazil
69,Zapopan,Mexico
70,Goiânia,Brazil
71,Córdoba,Argentina
72,Bogotá,Colombia
73,Rio de Janeiro,Brazil
74,Zapopan,Mexico
75,Tegucigalpa,Honduras
76,Managua,Nicaragua
77,Juárez,Mexico
78,Lima,Peru
79,Santa Cruz de la Sierra,Bolivia
80,São Paulo,Brazil
81,Bogotá,Colombia
82,Recife,Brazil
83,Mexico City,Mexico
84,Monterrey,Mexico
85,Buenos Aires,Argentina
86,Mexico City,Mexico
87,Rio de Janeiro,Brazil
88,Cali,Colombia
89,Havana,Cuba
90,Tegucigalpa,Honduras
91,León,Mexico
92,Zapopan,Mexico
93,Fortaleza,Brazil
94,Ecatepec de Morelos,Mexico
95,Ecatepec de Morelos,Mexico
96,Buenos Aires,Argentina
97,Havana,Cuba
98,Recife,Brazil
99,Guayaquil,Ecuador
100,Ecatepec de Morelos,Mexico
