id_veiculo,id_loja,marca_veiculo,modelo_veiculo,situacao_veiculo
1,41,AMC,Javelin,ATIVO
2,97,Ferrari,Dino,ATIVO
3,48,Ford,Pantera,ATIVO
4,37,Fiat,X1-9,ATIVO
5,62,Hornet,4,ATIVO
6,7,Fiat,X1-9,ATIVO
7,41,Camaro,Z28,ATIVO
8,96,Maserati,Bora,ATIVO
9,49,Porsche,914-2,ATIVO
10,63,Duster,360,ATIVO
11,40,Mazda,RX4,ATIVO
12,24,Toyota,Corona,ATIVO
13,28,Fiat,128,ATIVO
14,54,Toyota,Corolla,ATIVO
15,84,Merc,240D,ATIVO
16,8,Toyota,Corona,ATIVO
17,20,Maserati,Bora,ATIVO
18,74,Toyota,Corolla,ATIVO
19,47,Dodge,Challenger,ATIVO
20,84,Chrysler,Imperial,ATIVO
21,23,Lotus,Europa,ATIVO
22,37,Merc,450SLC,ATIVO
23,44,Pontiac,Firebird,ATIVO
24,94,Cadillac,Fleetwood,ATIVO
25,49,Cadillac,Fleetwood,ATIVO
26,35,Mazda,RX4,ATIVO
27,2,Dodge,Challenger,ATIVO
28,20,Maserati,Bora,ATIVO
29,5,Merc,280C,ATIVO
30,76,Merc,280,ATIVO
31,24,Hornet,Sportabout,ATIVO
32,88,Volvo,142E,ATIVO
33,1,Toyota,Corona,ATIVO
34,27,Dodge,Challenger,ATIVO
35,18,Datsun,710,ATIVO
36,34,Datsun,710,ATIVO
37,40,Ferrari,Dino,ATIVO
38,26,Toyota,Corona,ATIVO
39,34,Cadillac,Fleetwood,ATIVO
40,25,Maserati,Bora,ATIVO
41,47,Merc,280C,ATIVO
42,87,Fiat,X1-9,ATIVO
43,43,Merc,450SE,ATIVO
44,99,Fiat,128,ATIVO
45,91,Chrysler,Imperial,ATIVO
46,9,Merc,450SLC,ATIVO
47,75,Ferrari,Dino,ATIVO
48,56,Merc,230,ATIVO
49,93,Fiat,128,ATIVO
50,90,Camaro,Z28,ATIVO
51,58,Fiat,128,ATIVO
52,3,Merc,450SE,ATIVO
53,84,Ford,Pantera,ATIVO
54,66,Dodge,Challenger,ATIVO
55,92,Merc,280C,ATIVO
56,62,Merc,450SE,ATIVO
57,61,Fiat,128,ATIVO
58,27,Dodge,Challenger,ATIVO
59,78,Ferrari,Dino,ATIVO
60,48,Chrysler,Imperial,ATIVO
61,94,Merc,450SLC,ATIVO
62,32,Fiat,X1-9,ATIVO
63,72,Lotus,Europa,ATIVO
64,53,Ferrari,Dino,ATIVO
65,53,Duster,360,ATIVO
66,42,Camaro,Z28,ATIVO
67,16,Cadillac,Fleetwood,ATIVO
68,42,Duster,360,ATIVO
69,53,Honda,Civic,ATIVO
70,45,Merc,450SE,ATIVO
71,72,Datsun,710,ATIVO
72,25,Merc,450SL,ATIVO
73,97,Porsche,914-2,ATIVO
74,51,Toyota,Corona,ATIVO
75,30,Merc,230,ATIVO
76,6,Duster,360,INATIVO
77,24,Mazda,RX4,ATIVO
78,51,Chrysler,Imperial,ATIVO
79,26,Datsun,710,ATIVO
