id_veiculo,id_loja,marca_veiculo,modelo_veiculo,situacao_veiculo
1,4,Hornet,Sportabout,ATIVO
2,1,Duster,360,ATIVO
3,28,Ferrari,Dino,ATIVO
4,50,Hornet,4,ATIVO
5,65,Duster,360,ATIVO
6,32,AMC,Javelin,ATIVO
7,10,Duster,360,ATIVO
8,50,Maserati,Bora,ATIVO
9,62,Dodge,Challenger,ATIVO
10,82,Lotus,Europa,ATIVO
11,62,Camaro,Z28,ATIVO
12,5,AMC,Javelin,ATIVO
13,49,Toyota,Corona,ATIVO
14,56,Porsche,914-2,ATIVO
15,60,Merc,450SLC,ATIVO
16,45,Merc,280,ATIVO
17,49,Merc,450SE,INATIVO
18,76,Datsun,710,ATIVO
19,94,Pontiac,Firebird,ATIVO
20,2,Ferrari,Dino,ATIVO
21,71,Volvo,142E,ATIVO
22,36,Camaro,Z28,ATIVO
23,29,Merc,450SL,ATIVO
24,61,AMC,Javelin,ATIVO
25,28,Fiat,X1-9,ATIVO
26,98,Merc,450SL,ATIVO
27,93,Porsche,914-2,INATIVO
28,65,Merc,280C,ATIVO
29,38,Datsun,710,ATIVO
30,72,Ford,Pantera,ATIVO
31,75,Hornet,Sportabout,ATIVO
32,7,Fiat,X1-9,ATIVO
33,75,Ford,Pantera,ATIVO
34,31,Fiat,128,ATIVO
35,86,Maserati,Bora,ATIVO
36,86,Merc,280,ATIVO
37,35,Chrysler,Imperial,ATIVO
38,34,Merc,280,ATIVO
39,20,AMC,Javelin,ATIVO
40,80,Chrysler,Imperial,ATIVO
41,31,Merc,450SL,ATIVO
42,51,Merc,450SL,ATIVO
43,76,Datsun,710,ATIVO
44,6,Fiat,X1-9,ATIVO
45,84,Merc,450SLC,ATIVO
46,76,Merc,450SLC,ATIVO
47,51,AMC,Javelin,ATIVO
48,84,Datsun,710,ATIVO
49,37,Merc,450SE,ATIVO
50,65,Toyota,Corona,ATIVO
51,8,Mazda,RX4,ATIVO
52,74,Merc,240D,ATIVO
53,95,Chrysler,Imperial,ATIVO
54,43,Toyota,Corona,ATIVO
55,81,Fiat,X1-9,ATIVO
56,34,Fiat,128,ATIVO
57,69,Cadillac,Fleetwood,ATIVO
58,82,Maserati,Bora,INATIVO
59,62,Merc,240D,ATIVO
60,89,Duster,360,ATIVO
61,43,Merc,280C,ATIVO
62,25,Merc,450SL,ATIVO
63,85,Fiat,X1-9,INATIVO
64,12,Fiat,128,ATIVO
65,61,Fiat,128,ATIVO
66,15,Camaro,Z28,ATIVO
67,28,Porsche,914-2,ATIVO
68,73,Ferrari,Dino,ATIVO
69,97,Merc,280C,ATIVO
70,36,Merc,280C,ATIVO
71,7,Toyota,Corona,INATIVO
72,86,Maserati,Bora,ATIVO
73,16,Lotus,Europa,ATIVO
74,100,Maserati,Bora,ATIVO
75,55,Cadillac,Fleetwood,ATIVO
76,83,Ferrari,Dino,ATIVO
77,34,Honda,Civic,ATIVO
78,35,Mazda,RX4,ATIVO
79,53,Pontiac,Firebird,ATIVO
80,68,Cadillac,Fleetwood,ATIVO
81,31,Toyota,Corolla,ATIVO
82,82,Ford,Pantera,ATIVO
83,54,Merc,230,ATIVO
84,74,Mazda,RX4,INATIVO
85,17,Mazda,RX4,ATIVO
86,51,Fiat,X1-9,ATIVO
87,32,Duster,360,ATIVO
88,83,Mazda,RX4,ATIVO
89,26,Duster,360,ATIVO
90,12,Camaro,Z28,ATIVO
91,23,Cadillac,Fleetwood,ATIVO
92,93,Dodge,Challenger,ATIVO
93,31,Duster,360,ATIVO
94,47,Merc,450SE,ATIVO
95,76,Dodge,Challenger,ATIVO
96,46,Toyota,Corona,ATIVO
97,82,Pontiac,Firebird,ATIVO
98,49,Dodge,Challenger,ATIVO
99,57,Hornet,Sportabout,ATIVO
100,77,Porsche,914-2,ATIVO
101,63,Mazda,RX4,ATIVO
102,86,Mazda,RX4,ATIVO
103,71,Honda,Civic,INATIVO
104,61,Lincoln,Continental,ATIVO
105,90,Merc,240D,ATIVO
106,45,Cadillac,Fleetwood,ATIVO
107,31,Toyota,Corolla,ATIVO
108,7,Duster,360,ATIVO
109,24,Porsche,914-2,ATIVO
110,4,Datsun,710,ATIVO
111,16,Toyota,Corolla,ATIVO
112,2,Porsche,914-2,ATIVO
113,67,Toyota,Corona,ATIVO
114,32,Honda,Civic,ATIVO
115,7,Mazda,RX4,ATIVO
116,95,Merc,450SLC,ATIVO
117,58,Hornet,Sportabout,ATIVO
118,33,Merc,450SE,ATIVO
119,29,Datsun,710,ATIVO
120,73,Porsche,914-2,ATIVO
121,51,Maserati,Bora,ATIVO
122,52,Volvo,142E,ATIVO
123,4,Pontiac,Firebird,ATIVO
124,8,Fiat,X1-9,ATIVO
125,81,Mazda,RX4,ATIVO
126,82,Merc,230,ATIVO
127,35,Merc,450SL,ATIVO
128,90,Ferrari,Dino,ATIVO
129,60,Merc,280,ATIVO
130,94,Dodge,Challenger,ATIVO
131,86,Merc,450SE,ATIVO
132,30,Pontiac,Firebird,ATIVO
133,43,Merc,450SL,ATIVO
134,70,Merc,450SL,ATIVO
135,25,Camaro,Z28,ATIVO
136,35,Merc,450SL,ATIVO
137,71,Duster,360,ATIVO
138,100,Datsun,710,ATIVO
139,68,Merc,280,ATIVO
140,12,Merc,240D,ATIVO
141,31,Duster,360,ATIVO
142,78,Mazda,RX4,ATIVO
143,47,Duster,360,ATIVO
144,3,Hornet,4,ATIVO
145,56,Merc,450SLC,ATIVO
146,70,Fiat,X1-9,ATIVO
147,83,Merc,280C,ATIVO
148,88,AMC,Javelin,ATIVO
149,61,Toyota,Corona,ATIVO
150,71,Porsche,914-2,ATIVO
151,8,Chrysler,Imperial,ATIVO
152,46,Merc,240D,INATIVO
153,56,Mazda,RX4,ATIVO
154,67,Hornet,4,INATIVO
155,92,Cadillac,Fleetwood,ATIVO
156,91,Ferrari,Dino,ATIVO
157,16,Mazda,RX4,ATIVO
158,19,Camaro,Z28,ATIVO
159,61,Duster,360,ATIVO
160,12,Dodge,Challenger,ATIVO
161,59,Merc,230,ATIVO
162,20,Cadillac,Fleetwood,ATIVO
163,94,Merc,450SE,ATIVO
164,18,Ferrari,Dino,ATIVO
165,33,Lotus,Europa,ATIVO
166,10,Toyota,Corolla,ATIVO
167,43,AMC,Javelin,ATIVO
168,74,Fiat,128,ATIVO
169,34,Merc,280C,ATIVO
170,80,Merc,450SE,ATIVO
171,16,Merc,280,ATIVO
172,56,Ford,Pantera,ATIVO
173,70,Fiat,X1-9,ATIVO
174,44,Ferrari,Dino,ATIVO
175,82,Porsche,914-2,ATIVO
176,89,Duster,360,ATIVO
177,2,Lotus,Europa,ATIVO
178,16,Pontiac,Firebird,ATIVO
179,42,Camaro,Z28,ATIVO
180,45,Merc,280C,ATIVO
181,45,Chrysler,Imperial,ATIVO
182,11,Merc,280,ATIVO
